Банки;смс банкинг;интернет банкинг;мобильный банкинг;"""клиент-банк""";Безопасность;Открытие вклада;Процент по вкладу;Оформление кредита;Процент по кредиту;Оформление вкладов;Электронный кошелек;интернет банкинг;мобильный банкинг;интернет банкинг;мобильный банкинг;банк клиент;Безопасность;интернет банкинг;мобильный банкинг;Ставка по кредиту;Расчёт
СберБанк России;100;100;100;есть;стандарт + 3d rescue, автооотключ сеанса;Доступно;5.6;Доступно;11.9;Доступно;Доступно;9;9;3500;1000;3900;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;9;9;16.5;1
ВТБ;59;0;30;есть;стандарт + 3d rescue, автооотключ сеанса;Доступно;7.5;Доступно;11.9;Доступно;Доступно;9;9;1000;0;1000;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;1;1;13.1;1
Газпромбанк;0;0;59;есть;стандарт + 3d rescue, автооотключ сеанса;Не доступно;0;Доступно;13;Доступно;Доступно;7;9;0;0;2400;антивирусное ПО, протокол ssl, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;1;6;12.65;1
РоссельхозБанк;0;0;0;есть;стандарт + 3d rescue, автооотключ сеанса;Не доступно;0;Доступно;12;Не доступно;Доступно;5;5;3700;0;3900;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., СКЗИ и ЭПЦ;6;7;12;0
Альфа-Банк;79;0;0;есть;стандарт + 3d rescue;Доступно;6;Не доступно;0;Доступно;Доступно;9;9;1300;0;0;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса;9;1;12.65;0
ПАО Банк «ФК Открытие»;0;0;0;есть;стандарт + 3d rescue;Доступно;9.2;Доступно;10.8;Доступно;Доступно;9;8;0;0;1800;антивирусное ПО, протокол ssl, проверка ip, СКЗИ и ЭПЦ;8;9;0;1
Промсвязьбанк;0;0;0;есть;стандарт ;Доступно;7.55;Доступно;11;Доступно;Доступно;8;8;800;0;1300;антивирусное ПО, протокол ssl, проверка ip, аутент. уровня транзакций, СКЗИ и ЭПЦ;5;1;9.6;1
Райффайзенбанк;60;0;0;есть;стандарт + 3d rescue, автооотключ сеанса;Доступно;7.07;Доступно;9.9;Доступно;Не доступно;9;8;990;990;1500;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;7;8;10;1
Росбанк;0;0;0;есть;стандарт +  3d rescue;Доступно;7.8;Доступно;9.9;Не доступно;Не доступно;9;7;3200;0;0;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., аутент. уровня транзакций, СКЗИ и ЭПЦ;7;6;10.7;1
Тинькофф Банк;59;0;0;есть;стандарт +  3d rescue, автооотключ сеанса;Доступно;7;Доступно;11.99;Доступно;Доступно;9;9;0;0;990;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;9;9;11.9;1
Почта Банк;49;0;0;есть;стандарт +  3d rescue;Доступно;7;Доступно;15;Не доступно;Не доступно;6;4;0;0;0;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., аутент. уровня транзакций, СКЗИ и ЭПЦ;9;1;0;0
Банк Хоум Кредит;0;0;0;есть;стандарт +  3d rescue;Доступно;7.9;Доступно;10;Доступно;Доступно;7;6;0;0;0;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., СКЗИ и ЭПЦ;8;1;12.25;0
Банк Русский Стандарт;50;0;0;есть;стандарт +  3d rescue, автооотключ сеанса;Доступно;6.3;Доступно;11.99;Не доступно;Не доступно;6;6;1000;0;0;проверка ip, автооотключ сеанса;6;6;12.32;0
Банк Ассоциация;45;0;49;есть;протокол ssl, 3d rescue, автооотключ сеанса;Доступно;7.15;Не доступно;0;Не доступно;Доступно;5;4;0;0;0;антивирусное ПО, протокол ssl, аппаратная аутентифик., автооотключ сеанса;5;4;6.5;0
МТС Банк;0;0;0;есть;стандарт + 3d rescue, автооотключ сеанса;Доступно;8.8;Доступно;17.9;Доступно;Доступно;8;9;0;0;2100;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, СКЗИ и ЭПЦ;8;6;11.9;1
СаровбизнесБанк;59;0;0;есть;стандарт ;Доступно;7.15;Доступно;10.9;Не доступно;Доступно;5;5;2100;0;0;антивирусное ПО, протокол ssl, проверка ip;5;5;0;1
НБД Банк;0;42;0;есть;стандарт ;Доступно;7.65;Доступно;14.9;Доступно;Доступно;5;7;850;0;0;антивирусное ПО, протокол ssl, проверка ip, СКЗИ и ЭПЦ;5;1;11.5;0
БинБанк;0;0;30;есть;стандарт +  3d rescue, автооотключ сеанса;Доступно;7.35;Доступно;13;Доступно;Доступно;7;8;1500;0;0;антивирусное ПО, протокол ssl, проверка ip, аппаратная аутентифик., автооотключ сеанса, аутент. уровня транзакций, СКЗИ и ЭПЦ;9;1;12.5;0
